rid,time,lon,lat,depth,mag,FI,APF,skew,band_skew,kurt,band_kurt,evt_type
60695053,2006-07-15T12:32:51.840000Z,-165.979,54.153166666666664,1900.0,0.0,0.08712959978532517,8.247011952191235,0.7252856975363727,0.9029169959800903,3.280371830974016,3.831768475676428,VT
60695068,2006-07-15T12:33:06.530000Z,-165.98116666666667,54.147333333333336,1960.0,0.0,0.206057681690034,8.366533864541832,0.6835722325399256,0.49963959054676604,2.5344230289790404,2.8431701042618513,VT
60695088,2006-07-15T12:34:41.160000Z,-165.9895,54.153,1430.0,-0.2,0.19753517475364107,9.203187250996015,0.6526018198115728,0.5563792730194518,2.6616835999782524,2.9375221942873044,VT
60696758,2006-07-17T03:36:49.070000Z,-165.96616666666668,54.144333333333336,3070.0,0.1,0.04232628705618252,6.135458167330677,0.22874642455251296,0.2895184152311566,2.4951017001581675,2.7277648904300102,VT
60696928,2006-07-17T13:36:37.300000Z,-166.01233333333334,54.1685,6280.0,0.8,0.0950499681490373,5.537848605577689,0.9390837569735739,0.5054238858077397,3.112882802496083,3.1231980193031506,VT
60696948,2006-07-17T14:25:48.630000Z,-166.00983333333335,54.16883333333333,6580.0,0.5,0.15425219348072916,6.6932270916334655,0.6627595475094843,0.702869132991168,2.7023844675903574,2.9794865178082035,VT
60696983,2006-07-17T16:00:57.530000Z,-166.01466666666667,54.16866666666667,6380.0,0.1,0.0877592423021577,5.856573705179282,0.671761666840229,0.4888924195727861,2.801258006038286,2.0611963980525285,VT
60698313,2006-07-21T20:45:10.510000Z,-165.99433333333334,54.14966666666667,2390.0,0.0,0.1726913477985451,9.08366533864542,0.5711600124382146,0.43888111568693916,3.104738809552987,3.1171053346866935,VT
60698318,2006-07-21T20:45:26.040000Z,-165.99566666666666,54.147,1850.0,-0.2,0.11447235634992829,7.609561752988048,0.6996542731600521,1.0850900811782407,3.3223227742681596,4.317450246059782,VT
60698858,2006-07-23T23:46:03.020000Z,-166.034,54.18233333333333,4160.0,0.6,0.14683349363659498,7.330677290836654,0.4349684091553948,-0.14511832161135887,2.122538113451165,2.255037421016503,VT
60698863,2006-07-23T23:50:19.650000Z,-166.03183333333334,54.18416666666667,4060.0,0.2,0.1184794878319012,6.932270916334661,0.43431046913948934,0.09453106119566183,2.2683050624300383,2.283333691864517,VT
60699023,2006-07-24T14:08:58.870000Z,-166.03433333333334,54.1745,5990.0,1.0,0.08756512857064815,5.0199203187251005,0.7549879343570794,-0.026079798516435975,2.5252787645126444,2.4689542969357805,VT
60672313,2006-08-07T20:02:56.260000Z,-166.03616666666667,54.121,5650.0,0.3,0.24303405669902153,6.932270916334661,0.8733083227328753,0.47247305371601883,3.0684149788560773,2.8134129528429255,VT
60672813,2006-08-09T08:26:33.650000Z,-165.9535,54.13516666666666,3870.0,0.2,-0.013766721480213191,4.9800796812749,0.9760555209976383,0.32731110931454566,4.634189548046756,3.0012020571518407,Uncertain
60673233,2006-08-10T11:17:25.760000Z,-165.98,54.1585,2640.0,0.2,0.01939644649610196,4.900398406374502,-0.008975533376225983,0.1704618177721956,2.2411727647975708,2.1684779358947246,VT
60674713,2006-08-13T01:03:15.900000Z,-165.95983333333334,54.13733333333333,2890.0,0.0,0.034110870633242495,7.848605577689243,0.38985924840346264,0.4912988518436819,2.2076756493139875,2.0759947073401324,VT
